TM,MOVE,,,LOCATION,,,,,,,HM,MOVE,,,LOCATION
001,,Close Combat,,"Cerulean Cave, 2F, in the south east part of the floor.",,,,,,,001,,Cut,,"S.S. Anne, from the Captain in his room."
002,,Dragon Claw,,"Route 14, in the small patch of grass above the Bikers.",,,,,,,002,,Fly,,"Route 16, from a girl in the house in the top left corner of the Route."
003,,Flip Turn,,"Cerulean City's gym, from Misty after defeating her.",,,,,,,003,,Surf,,"Safari Zone Area 3, from the guy inside the northern Rest House."
004,,Seed Bomb,,"Route 12, in the grassy area below Fisherman's house.",,,,,,,004,,Strength,,"Fuchsia City, from Warden in the south-eastern house after giving him Gold Teeth."
005,,Roar,,"Route 4, after Mt. Moon, right of the two Black Belts, in between the multiple ledges.",,,,,,,005,,Flash,,"Route 2, from Professor Oak's Scientist in the eastern gate."
006,,Toxic,,Celadon City's Game Corner for $17 500.,,,,,,,006,,Rock Smash,,"Fuchsia City, from Brendan after defeating him in front of Safari Zone's entrance."
007,,Heat Wave,,Cinnabar Island's Pokémon Mansion 3F.,,,,,,,007,,Waterfall,,"(POST-GAME) From an old man on Island One, in the Ember Spa."
008,,Zen Headbutt,,"Saffron City's Silph Co. 7F, in the middle-right room. (Keycard required)",,,,,,,008,,Rock Climb,,CANNOT BE FOUND.
009,,Bullet Seed,,"Mt. Moon 1F, west from the entrance.",,,,,,,,,,,
010,,Hidden Power,,"Saffron City's Silph Co. 1F, on the upper right corner of the room behind a plant.",,,,,,,,,,,
011,,Supercell Slam,,"Indigo Plateau, before entering the building, from soupercell after defeating him.",,,,,,,,,,,
012,,Taunt,,Celadon City's Rocket Hideout B2F inside the warp maze.,,,,,,,,,,,
,,,,,(HARDCORE) Unavailable.,,,,,,,,,,
013,,Ice Beam,,Celadon City's Game Corner for $30 000.,,,,,,,,,,,
014,,Blizzard,,Cinnabar Island's Pokémon Mansion B1F.,,,,,,,,,,,
015,,Electroweb,,"Viridian Forest, follow the accessible path around the forest's end without rock break.",,,,,,,,,,,
016,,Light Screen,,Celadon City's Game Corner for $17 500.,,,,,,,,,,,
017,,Protect,,Celadon City's Game Corner for $15 000.,,,,,,,,,,,
,,,,,(HARDCORE) Unavailable.,,,,,,,,,,
018,,Hydro Pump,,"Route 15, above the ledge near the Raid Den.",,,,,,,,,,,
019,,Giga Drain,,"Celadon City's gym, from Erika after defeating her.",,,,,,,,,,,
020,,Hyper Voice,,Celadon City's Game Corner for $15 000.,,,,,,,,,,,
021,,Icy Wind,,Cerulean City's Pokémart for $5000.,,,,,,,,,,,
022,,Weather Ball,,Cinnabar Island's Pokémon Mansion B1F.,,,,,,,,,,,
