,,,,,,,,,,,,
,,,,,,,,,,,,
,,CERULEAN CITY,,,,,,CELADON CITY RESTAURANT,,,,
,,Looking for...,,,Reward,,,Looking for...,,,Reward,
,,Snom,,,,Carnivine,,Murkrow,,,,Chatot
,,,,,,,,,,,,
,,,,,,,,,,,,
,,ROUTE 5 UNDERGROUND PATH,,,,,,ROUTE 18'S GATE UPSTAIRS,,,,
,,Looking for...,,,Reward,,,Looking for...,,,Reward,
,,Carbink,,,,Eiscue,,Dedenne,,,,Morpeko
,,,,,,,,,,,,
,,,,,,,,,,,,
,,VERMILION CITY,,,,,,CINNABAR ISLAND LAB,,,,
,,Looking for...,,,Reward,,,Looking for...,,,Reward,
,,Pikipek,,,,Farfetch'd-Galar,,Aegislash,,,,Mimikyu
,,,,,,,,,,,,
,,,,,,,,,,,,
,,ROUTE 11'S GATE UPSTAIRS,,,,,,CINNABAR ISLAND LAB,,,,
,,Looking for...,,,Reward,,,Looking for...,,,Reward,
,,Florges,,,,Floette-Eternal,,Ursaluna,,,,Ursaluna-BM
,,,,,,,,,,,,
,,,,,,,,,,,,
,,ROUTE 2,,,,,,,,,,
,,Looking for...,,,Reward,,,,,,,
,,Furret,,,?,???,,,,,,
